Id Sensore;Data-Ora;Irr;Temp ;Operating cell Temp;Cell efficiency;Electrical Output
2008;01/01/2013 00:00;0;-0,2;28,8;0,17;0
2008;01/01/2013 01:00;0;0,6;29,6;0,17;0
2008;01/01/2013 02:00;0;0,5;29,5;0,17;0
2008;01/01/2013 03:00;0;-0,6;28,4;0,17;0
2008;01/01/2013 04:00;0;-0,6;28,4;0,17;0
2008;01/01/2013 05:00;0;-0,4;28,6;0,17;0
2008;01/01/2013 06:00;0;-1;28;0,171;0
2008;01/01/2013 07:00;0;-1,6;27,4;0,171;0
2008;01/01/2013 08:00;0;-2;27;0,172;0
2008;01/01/2013 09:00;21;-1,4;27,6;0,171;3,592
2008;01/01/2013 10:00;111,5;-0,6;28,4;0,17;19,007
2008;01/01/2013 11:00;248,2;2,2;31,2;0,168;41,794
2008;01/01/2013 12:00;124,7;3;32;0,168;20,924
2008;01/01/2013 13:00;117;3,9;32,9;0,167;19,553
2008;01/01/2013 14:00;41;4,6;33,6;0,167;6,831
2008;01/01/2013 15:00;7,5;3,9;32,9;0,167;1,253
2008;01/01/2013 16:00;7,2;3,7;32,7;0,167;1,204
2008;01/01/2013 17:00;0;3,7;32,7;0,167;0
2008;01/01/2013 18:00;0;3,8;32,8;0,167;0
2008;01/01/2013 19:00;0;3,4;32,4;0,167;0
2008;01/01/2013 20:00;0;3,5;32,5;0,167;0
2008;01/01/2013 21:00;0;3,7;32,7;0,167;0
2008;01/01/2013 22:00;0;4,1;33,1;0,167;0
2008;01/01/2013 23:00;0;3,9;32,9;0,167;0
2008;02/01/2013 00:00;0;3,8;32,8;0,167;0
2008;02/01/2013 01:00;0;3,5;32,5;0,167;0
2008;02/01/2013 02:00;0;2,9;31,9;0,168;0
2008;02/01/2013 03:00;0;2,4;31,4;0,168;0
2008;02/01/2013 04:00;0;2,3;31,3;0,168;0
2008;02/01/2013 05:00;0;2,3;31,3;0,168;0
2008;02/01/2013 06:00;0;2,2;31,2;0,168;0
2008;02/01/2013 07:00;0;2,3;31,3;0,168;0
2008;02/01/2013 08:00;0;2,4;31,4;0,168;0
2008;02/01/2013 09:00;0;2,5;31,5;0,168;0
2008;02/01/2013 10:00;0;3,1;32,1;0,168;0
2008;02/01/2013 11:00;31,7;3,7;32,7;0,167;5,303
2008;02/01/2013 12:00;101,8;4,7;33,7;0,167;16,953
2008;02/01/2013 13:00;138;5,4;34,4;0,166;22,909
2008;02/01/2013 14:00;99,2;5,3;34,3;0,166;16,475
2008;02/01/2013 15:00;88,2;5;34;0,166;14,668
2008;02/01/2013 16:00;38,5;4,8;33,8;0,166;6,408
2008;02/01/2013 17:00;0;4,5;33,5;0,167;0
2008;02/01/2013 18:00;0;4;33;0,167;0
2008;02/01/2013 19:00;0;3,8;32,8;0,167;0
2008;02/01/2013 20:00;0;3,6;32,6;0,167;0
2008;02/01/2013 21:00;0;3,8;32,8;0,167;0
2008;02/01/2013 22:00;0;3,9;32,9;0,167;0
2008;02/01/2013 23:00;0;3,9;32,9;0,167;0
2008;03/01/2013 00:00;0;3,1;32,1;0,168;0
2008;03/01/2013 01:00;0;2,1;31,1;0,168;0
2008;03/01/2013 02:00;0;1,3;30,3;0,169;0
2008;03/01/2013 03:00;0;0,9;29,9;0,169;0
2008;03/01/2013 04:00;0;0,9;29,9;0,169;0
2008;03/01/2013 05:00;0;0,2;29,2;0,17;0
2008;03/01/2013 06:00;0;-0,4;28,6;0,17;0
2008;03/01/2013 07:00;0;-0,2;28,8;0,17;0
2008;03/01/2013 08:00;0;-0,3;28,7;0,17;0
2008;03/01/2013 09:00;15,7;0,4;29,4;0,17;2,665
2008;03/01/2013 10:00;156;2,6;31,6;0,168;26,222
2008;03/01/2013 11:00;226;4,6;33,6;0,167;37,652
2008;03/01/2013 12:00;280,2;7,1;36,1;0,165;46,161
2008;03/01/2013 13:00;315;8,5;37,5;0,164;51,566
2008;03/01/2013 14:00;291,2;9,8;38,8;0,163;47,388
2008;03/01/2013 15:00;227,3;9,8;38,8;0,163;36,989
2008;03/01/2013 16:00;120;9,4;38,4;0,163;19,564
2008;03/01/2013 17:00;15,2;8;37;0,164;2,494
2008;03/01/2013 18:00;0;5,8;34,8;0,166;0
2008;03/01/2013 19:00;0;4,6;33,6;0,167;0
2008;03/01/2013 20:00;0;4,5;33,5;0,167;0
2008;03/01/2013 21:00;0;4,8;33,8;0,166;0
2008;03/01/2013 22:00;0;4,9;33,9;0,166;0
2008;03/01/2013 23:00;0;4,5;33,5;0,167;0
2008;04/01/2013 00:00;0;3;32;0,168;0
2008;04/01/2013 01:00;0;2,9;31,9;0,168;0
2008;04/01/2013 02:00;0;2;31;0,169;0
2008;04/01/2013 03:00;0;1,1;30,1;0,169;0
2008;04/01/2013 04:00;0;0,6;29,6;0,17;0
2008;04/01/2013 05:00;0;0,3;29,3;0,17;0
2008;04/01/2013 06:00;0;0,3;29,3;0,17;0
2008;04/01/2013 07:00;0;0,3;29,3;0,17;0
2008;04/01/2013 08:00;0;0,2;29,2;0,17;0
2008;04/01/2013 09:00;19;0,3;29,3;0,17;3,226
2008;04/01/2013 10:00;123,5;2,3;31,3;0,168;20,787
2008;04/01/2013 11:00;222,7;5;34;0,166;37,036
2008;04/01/2013 12:00;163,5;5,7;34,7;0,166;27,106
2008;04/01/2013 13:00;302,5;7,8;36,8;0,164;49,677
2008;04/01/2013 14:00;292,7;10,3;39,3;0,162;47,523
2008;04/01/2013 15:00;199,5;11,4;40,4;0,162;32,228
2008;04/01/2013 16:00;89,8;9,4;38,4;0,163;14,64
2008;04/01/2013 17:00;3,7;7,4;36,4;0,165;0,609
2008;04/01/2013 18:00;0;5,4;34,4;0,166;0
2008;04/01/2013 19:00;0;4,3;33,3;0,167;0
2008;04/01/2013 20:00;0;3,8;32,8;0,167;0
2008;04/01/2013 21:00;0;3,2;32,2;0,168;0
2008;04/01/2013 22:00;0;2,6;31,6;0,168;0
2008;04/01/2013 23:00;0;2,4;31,4;0,168;0
2008;05/01/2013 00:00;0;2,1;31,1;0,168;0
2008;05/01/2013 01:00;0;2;31;0,169;0
2008;05/01/2013 02:00;0;1,8;30,8;0,169;0
2008;05/01/2013 03:00;0;2,1;31,1;0,168;0
2008;05/01/2013 04:00;0;4,3;33,3;0,167;0
2008;05/01/2013 05:00;0;4;33;0,167;0
2008;05/01/2013 06:00;0;3,7;32,7;0,167;0
2008;05/01/2013 07:00;0;4,1;33,1;0,167;0
2008;05/01/2013 08:00;0;3,9;32,9;0,167;0
2008;05/01/2013 09:00;24,5;3,6;32,6;0,167;4,1
2008;05/01/2013 10:00;126,3;6,3;35,3;0,165;20,882
2008;05/01/2013 11:00;215,7;8;37;0,164;35,391
2008;05/01/2013 12:00;315,8;9,8;38,8;0,163;51,391
2008;05/01/2013 13:00;328,2;12,5;41,5;0,161;52,75
2008;05/01/2013 14:00;303,8;14,1;43,1;0,16;48,467
2008;05/01/2013 15:00;222,2;15,6;44,6;0,158;35,201
2008;05/01/2013 16:00;118,2;15,6;44,6;0,158;18,725
2008;05/01/2013 17:00;14,7;13;42;0,16;2,357
2008;05/01/2013 18:00;0;9,6;38,6;0,163;0
2008;05/01/2013 19:00;0;7,8;36,8;0,164;0
2008;05/01/2013 20:00;0;6,8;35,8;0,165;0
2008;05/01/2013 21:00;0;6,3;35,3;0,165;0
2008;05/01/2013 22:00;0;5,7;34,7;0,166;0
2008;05/01/2013 23:00;0;5,3;34,3;0,166;0
2008;06/01/2013 00:00;0;4,7;33,7;0,167;0
2008;06/01/2013 01:00;0;4,7;33,7;0,167;0
2008;06/01/2013 02:00;0;4,2;33,2;0,167;0
2008;06/01/2013 03:00;0;3,9;32,9;0,167;0
2008;06/01/2013 04:00;0;3,2;32,2;0,168;0
2008;06/01/2013 05:00;0;3;32;0,168;0
2008;06/01/2013 06:00;0;2,4;31,4;0,168;0
2008;06/01/2013 07:00;0;2,4;31,4;0,168;0
2008;06/01/2013 08:00;0;1,8;30,8;0,169;0
2008;06/01/2013 09:00;13,7;2,1;31,1;0,168;2,308
2008;06/01/2013 10:00;71,3;3;32;0,168;11,964
2008;06/01/2013 11:00;127,2;5;34;0,166;21,154
2008;06/01/2013 12:00;225,2;7,1;36,1;0,165;37,1
2008;06/01/2013 13:00;302,7;9,3;38,3;0,163;49,372
2008;06/01/2013 14:00;167,7;10,1;39,1;0,163;27,253
2008;06/01/2013 15:00;78,5;9,7;38,7;0,163;12,78
2008;06/01/2013 16:00;46,8;9;38;0,163;7,644
2008;06/01/2013 17:00;0;7,5;36,5;0,164;0
2008;06/01/2013 18:00;0;8;37;0,164;0
2008;06/01/2013 19:00;0;8;37;0,164;0
2008;06/01/2013 20:00;0;9;38;0,163;0
2008;06/01/2013 21:00;0;11,1;40,1;0,162;0
2008;06/01/2013 22:00;0;10,1;39,1;0,163;0
2008;06/01/2013 23:00;0;8,4;37,4;0,164;0
2008;07/01/2013 00:00;0;7,7;36,7;0,164;0
2008;07/01/2013 01:00;0;5,5;34,5;0,166;0
2008;07/01/2013 02:00;0;4,7;33,7;0,167;0
2008;07/01/2013 03:00;0;5,4;34,4;0,166;0
2008;07/01/2013 04:00;0;5,4;34,4;0,166;0
2008;07/01/2013 05:00;0;3,8;32,8;0,167;0
2008;07/01/2013 06:00;0;3,6;32,6;0,167;0
2008;07/01/2013 07:00;0;3,7;32,7;0,167;0
2008;07/01/2013 08:00;0;2,9;31,9;0,168;0
2008;07/01/2013 09:00;2,7;1,2;30,2;0,169;0,457
2008;07/01/2013 10:00;85,3;1,9;30,9;0,169;14,383
2008;07/01/2013 11:00;107;3,6;32,6;0,167;17,906
2008;07/01/2013 12:00;272,7;5;34;0,166;45,351
2008;07/01/2013 13:00;314,2;7,8;36,8;0,164;51,599
2008;07/01/2013 14:00;235,2;9,6;38,6;0,163;38,31
2008;07/01/2013 15:00;185;9,5;38,5;0,163;30,147
2008;07/01/2013 16:00;117,7;8,9;37,9;0,163;19,233
2008;07/01/2013 17:00;9;6,5;35,5;0,165;1,487
2008;07/01/2013 18:00;0;3,8;32,8;0,167;0
2008;07/01/2013 19:00;0;3;32;0,168;0
2008;07/01/2013 20:00;0;2,5;31,5;0,168;0
2008;07/01/2013 21:00;0;2,4;31,4;0,168;0
2008;07/01/2013 22:00;0;3;32;0,168;0
2008;07/01/2013 23:00;0;3,8;32,8;0,167;0
2008;08/01/2013 00:00;0;4,3;33,3;0,167;0
2008;08/01/2013 01:00;0;4,3;33,3;0,167;0
2008;08/01/2013 02:00;0;4,4;33,4;0,167;0
2008;08/01/2013 03:00;0;4,5;33,5;0,167;0
2008;08/01/2013 04:00;0;4,6;33,6;0,167;0
2008;08/01/2013 05:00;0;4,8;33,8;0,166;0
2008;08/01/2013 06:00;0;4,9;33,9;0,166;0
2008;08/01/2013 07:00;0;4,9;33,9;0,166;0
2008;08/01/2013 08:00;0;5,1;34,1;0,166;0
2008;08/01/2013 09:00;0;5,6;34,6;0,166;0
2008;08/01/2013 10:00;24;6,2;35,2;0,165;3,97
2008;08/01/2013 11:00;64;6,8;35,8;0,165;10,558
2008;08/01/2013 12:00;94;6,3;35,3;0,165;15,542
2008;08/01/2013 13:00;134,5;6,6;35,6;0,165;22,208
2008;08/01/2013 14:00;142,3;7,3;36,3;0,165;23,422
2008;08/01/2013 15:00;128,3;7,8;36,8;0,164;21,07
2008;08/01/2013 16:00;65,5;7,5;36,5;0,164;10,771
2008;08/01/2013 17:00;15;6,5;35,5;0,165;2,478
2008;08/01/2013 18:00;0;5,8;34,8;0,166;0
2008;08/01/2013 19:00;0;5,8;34,8;0,166;0
2008;08/01/2013 20:00;0;5,6;34,6;0,166;0
2008;08/01/2013 21:00;0;5,5;34,5;0,166;0
2008;08/01/2013 22:00;0;5,5;34,5;0,166;0
2008;08/01/2013 23:00;0;5,4;34,4;0,166;0
2008;09/01/2013 00:00;0;5,2;34,2;0,166;0
2008;09/01/2013 01:00;0;5,1;34,1;0,166;0
2008;09/01/2013 02:00;0;5,1;34,1;0,166;0
2008;09/01/2013 03:00;0;5;34;0,166;0
2008;09/01/2013 04:00;0;4,8;33,8;0,166;0
2008;09/01/2013 05:00;0;4,8;33,8;0,166;0
2008;09/01/2013 06:00;0;4,9;33,9;0,166;0
2008;09/01/2013 07:00;0;5,2;34,2;0,166;0
2008;09/01/2013 08:00;0;5,3;34,3;0,166;0
2008;09/01/2013 09:00;0;5,5;34,5;0,166;0
2008;09/01/2013 10:00;22,8;5,8;34,8;0,166;3,778
2008;09/01/2013 11:00;53,5;6,3;35,3;0,165;8,846
2008;09/01/2013 12:00;59,8;6,6;35,6;0,165;9,874
2008;09/01/2013 13:00;66;6,7;35,7;0,165;10,893
2008;09/01/2013 14:00;71,8;6,7;35,7;0,165;11,85
2008;09/01/2013 15:00;52,2;6,8;35,8;0,165;8,611
2008;09/01/2013 16:00;2,8;6,8;35,8;0,165;0,462
2008;09/01/2013 17:00;0;6,7;35,7;0,165;0
2008;09/01/2013 18:00;0;6,2;35,2;0,165;0
2008;09/01/2013 19:00;0;6;35;0,166;0
2008;09/01/2013 20:00;0;5,8;34,8;0,166;0
2008;09/01/2013 21:00;0;5,8;34,8;0,166;0
2008;09/01/2013 22:00;0;5,9;34,9;0,166;0
2008;09/01/2013 23:00;0;6;35;0,166;0
2008;10/01/2013 00:00;0;6,2;35,2;0,165;0
2008;10/01/2013 01:00;0;6;35;0,166;0
2008;10/01/2013 02:00;0;5,9;34,9;0,166;0
2008;10/01/2013 03:00;0;5,8;34,8;0,166;0
2008;10/01/2013 04:00;0;5,8;34,8;0,166;0
2008;10/01/2013 05:00;0;5,8;34,8;0,166;0
2008;10/01/2013 06:00;0;5,7;34,7;0,166;0
2008;10/01/2013 07:00;0;5,1;34,1;0,166;0
2008;10/01/2013 08:00;0;4,9;33,9;0,166;0
2008;10/01/2013 09:00;6;5,1;34,1;0,166;0,997
2008;10/01/2013 10:00;68,7;6,2;35,2;0,165;11,364
2008;10/01/2013 11:00;78,3;6,5;35,5;0,165;12,934
2008;10/01/2013 12:00;187,3;6,9;35,9;0,165;30,884
2008;10/01/2013 13:00;330,8;8,1;37,1;0,164;54,251
2008;10/01/2013 14:00;157,7;8;37;0,164;25,874
2008;10/01/2013 15:00;134,2;7,9;36,9;0,164;22,029
2008;10/01/2013 16:00;60,7;7,6;36,6;0,164;9,977
2008;10/01/2013 17:00;11;6,7;35,7;0,165;1,815
2008;10/01/2013 18:00;0;5,9;34,9;0,166;0
2008;10/01/2013 19:00;0;5,7;34,7;0,166;0
2008;10/01/2013 20:00;0;5,5;34,5;0,166;0
2008;10/01/2013 21:00;0;4,8;33,8;0,166;0
2008;10/01/2013 22:00;0;4,5;33,5;0,167;0
2008;10/01/2013 23:00;0;3,6;32,6;0,167;0
2008;11/01/2013 00:00;0;2,6;31,6;0,168;0
2008;11/01/2013 01:00;0;2,2;31,2;0,168;0
2008;11/01/2013 02:00;0;1,5;30,5;0,169;0
2008;11/01/2013 03:00;0;1,2;30,2;0,169;0
2008;11/01/2013 04:00;0;1,1;30,1;0,169;0
2008;11/01/2013 05:00;0;1,2;30,2;0,169;0
2008;11/01/2013 06:00;0;1,9;30,9;0,169;0
2008;11/01/2013 07:00;0;1,6;30,6;0,169;0
2008;11/01/2013 08:00;0;1,6;30,6;0,169;0
2008;11/01/2013 09:00;0;2;31;0,169;0
2008;11/01/2013 10:00;10,7;2,8;31,8;0,168;1,797
2008;11/01/2013 11:00;49;3,3;32,3;0,168;8,211
2008;11/01/2013 12:00;89,5;3,7;32,7;0,167;14,971
2008;11/01/2013 13:00;91,7;4,4;33,4;0,167;15,291
2008;11/01/2013 14:00;99;5,1;34,1;0,166;16,457
2008;11/01/2013 15:00;91;5,7;34,7;0,166;15,086
2008;11/01/2013 16:00;49,5;5,7;34,7;0,166;8,206
2008;11/01/2013 17:00;0;5,2;34,2;0,166;0
2008;11/01/2013 18:00;0;5;34;0,166;0
2008;11/01/2013 19:00;0;5;34;0,166;0
2008;11/01/2013 20:00;0;4,9;33,9;0,166;0
2008;11/01/2013 21:00;0;4,7;33,7;0,167;0
2008;11/01/2013 22:00;0;4,5;33,5;0,167;0
2008;11/01/2013 23:00;0;4,1;33,1;0,167;0
2008;12/01/2013 00:00;0;3,8;32,8;0,167;0
2008;12/01/2013 01:00;0;3,5;32,5;0,167;0
2008;12/01/2013 02:00;0;3,4;32,4;0,167;0
2008;12/01/2013 03:00;0;3,4;32,4;0,167;0
2008;12/01/2013 04:00;0;3,2;32,2;0,168;0
2008;12/01/2013 05:00;0;3,5;32,5;0,167;0
2008;12/01/2013 06:00;0;3,7;32,7;0,167;0
2008;12/01/2013 07:00;0;3,4;32,4;0,167;0
2008;12/01/2013 08:00;0;3,4;32,4;0,167;0
2008;12/01/2013 09:00;0;3,4;32,4;0,167;0
2008;12/01/2013 10:00;20,3;3,6;32,6;0,167;3,397
2008;12/01/2013 11:00;67,2;4;33;0,167;11,226
2008;12/01/2013 12:00;96,8;4,3;33,3;0,167;16,149
2008;12/01/2013 13:00;141,3;5;34;0,166;23,499
2008;12/01/2013 14:00;126,5;5,7;34,7;0,166;20,972
2008;12/01/2013 15:00;193,7;6,5;35,5;0,165;31,997
2008;12/01/2013 16:00;97;5,8;34,8;0,166;16,074
2008;12/01/2013 17:00;14,2;4,8;33,8;0,166;2,364
2008;12/01/2013 18:00;0;4,5;33,5;0,167;0
2008;12/01/2013 19:00;0;4,4;33,4;0,167;0
2008;12/01/2013 20:00;0;4,5;33,5;0,167;0
2008;12/01/2013 21:00;0;4,4;33,4;0,167;0
2008;12/01/2013 22:00;0;4,6;33,6;0,167;0
2008;12/01/2013 23:00;0;4,2;33,2;0,167;0
2008;13/01/2013 00:00;0;4;33;0,167;0
2008;13/01/2013 01:00;0;4,3;33,3;0,167;0
2008;13/01/2013 02:00;0;4,2;33,2;0,167;0
2008;13/01/2013 03:00;0;4;33;0,167;0
2008;13/01/2013 04:00;0;3,8;32,8;0,167;0
2008;13/01/2013 05:00;0;3,7;32,7;0,167;0
2008;13/01/2013 06:00;0;3,7;32,7;0,167;0
2008;13/01/2013 07:00;0;3,5;32,5;0,167;0
2008;13/01/2013 08:00;0;3,3;32,3;0,168;0
2008;13/01/2013 09:00;0;3,1;32,1;0,168;0
2008;13/01/2013 10:00;0;3,1;32,1;0,168;0
2008;13/01/2013 11:00;18,2;3,1;32,1;0,168;3,052
2008;13/01/2013 12:00;42,3;3,5;32,5;0,167;7,082
2008;13/01/2013 13:00;81,8;4,2;33,2;0,167;13,652
2008;13/01/2013 14:00;76,3;4,6;33,6;0,167;12,712
2008;13/01/2013 15:00;46;4,7;33,7;0,167;7,66
2008;13/01/2013 16:00;12,3;4,7;33,7;0,167;2,048
2008;13/01/2013 17:00;0;4,5;33,5;0,167;0
2008;13/01/2013 18:00;0;4,2;33,2;0,167;0
2008;13/01/2013 19:00;0;4,1;33,1;0,167;0
2008;13/01/2013 20:00;0;4,2;33,2;0,167;0
2008;13/01/2013 21:00;0;4,8;33,8;0,166;0
2008;13/01/2013 22:00;0;4,7;33,7;0,167;0
2008;13/01/2013 23:00;0;4,4;33,4;0,167;0
2008;14/01/2013 00:00;0;4,3;33,3;0,167;0
2008;14/01/2013 01:00;0;4,2;33,2;0,167;0
2008;14/01/2013 02:00;0;4,1;33,1;0,167;0
2008;14/01/2013 03:00;0;4;33;0,167;0
2008;14/01/2013 04:00;0;3,6;32,6;0,167;0
2008;14/01/2013 05:00;0;3,3;32,3;0,168;0
2008;14/01/2013 06:00;0;3,2;32,2;0,168;0
2008;14/01/2013 07:00;0;3,1;32,1;0,168;0
